code,name,window,date,close,volume,trading_value
096770,SK이노베이션,평가일/2M,2026-02-19,118600,469623,54819186250
096770,SK이노베이션,평가일/2M,2026-02-20,127600,1148636,145602238500
096770,SK이노베이션,평가일/2M,2026-02-23,128400,829422,106925362000
096770,SK이노베이션,평가일/2M,2026-02-24,137700,1454315,197333208050
096770,SK이노베이션,평가일/2M,2026-02-25,131200,945606,125322524100
096770,SK이노베이션,평가일/2M,2026-02-26,130000,645204,84082325950
096770,SK이노베이션,평가일/2M,2026-02-27,127700,1133235,144795293200
096770,SK이노베이션,평가일/2M,2026-03-03,130900,3617613,484467129050
096770,SK이노베이션,평가일/2M,2026-03-04,109000,2479816,295359163250
096770,SK이노베이션,평가일/2M,2026-03-05,126500,2015029,249412226450
096770,SK이노베이션,평가일/2M,2026-03-06,124900,1082786,135446020800
096770,SK이노베이션,평가일/2M,2026-03-09,118200,1018646,123624782550
096770,SK이노베이션,평가일/2M,2026-03-10,119800,543592,64744582650
096770,SK이노베이션,평가일/2M,2026-03-11,119500,832752,102284159350
096770,SK이노베이션,평가일/2M,2026-03-12,121700,1529015,185845209550
096770,SK이노베이션,평가일/2M,2026-03-13,112600,1213989,138891263700
096770,SK이노베이션,평가일/2M,2026-03-16,109300,480023,52974280200
096770,SK이노베이션,평가일/2M,2026-03-17,110900,443183,48746082250
096770,SK이노베이션,평가일/2M,2026-03-18,114300,394221,44663561050
096770,SK이노베이션,평가일/2M,2026-03-19,110300,319609,35605810750
096770,SK이노베이션,평가일/2M,2026-03-20,113900,570150,65355396850
096770,SK이노베이션,평가일/2M,2026-03-23,105600,464035,49925749100
096770,SK이노베이션,평가일/2M,2026-03-24,110100,335325,36494468000
096770,SK이노베이션,평가일/2M,2026-03-25,114100,429196,48605578650
096770,SK이노베이션,평가일/2M,2026-03-26,111300,301504,33790018350
096770,SK이노베이션,평가일/2M,2026-03-27,111400,310314,33872874450
096770,SK이노베이션,평가일/2M,2026-03-30,113400,494381,55633959800
096770,SK이노베이션,평가일/2M,2026-03-31,108700,424109,46769646200
096770,SK이노베이션,평가일/2M,2026-04-01,114500,339509,38393613000
096770,SK이노베이션,평가일/2M,2026-04-02,115500,906129,106147526850
096770,SK이노베이션,평가일/2M,2026-04-03,118200,307161,35929260150
096770,SK이노베이션,평가일/2M,2026-04-06,123200,619875,75060378000
096770,SK이노베이션,평가일/2M,2026-04-07,121800,690065,86272370200
096770,SK이노베이션,평가일/2M,2026-04-08,120400,807415,96313902500
096770,SK이노베이션,평가일/2M,2026-04-09,124000,648120,79621121100
096770,SK이노베이션,평가일/2M,2026-04-10,122400,291430,35786887100
096770,SK이노베이션,평가일/2M,2026-04-13,121500,345810,42075901000
096770,SK이노베이션,평가일/2M,2026-04-14,121600,361028,43821426050
096770,SK이노베이션,평가일/2M,2026-04-15,121600,501831,60414784250
096770,SK이노베이션,평가일/2M,2026-04-16,126500,667455,83714863450
096770,SK이노베이션,기준일/2M,2025-10-31,128900,700849,91980101300
096770,SK이노베이션,기준일/2M,2025-11-03,126500,493253,62271781850
096770,SK이노베이션,기준일/2M,2025-11-04,126500,369158,47199179450
096770,SK이노베이션,기준일/2M,2025-11-05,120900,444471,53557013700
096770,SK이노베이션,기준일/2M,2025-11-06,120800,445880,54168297300
096770,SK이노베이션,기준일/2M,2025-11-07,115900,391011,45497329700
096770,SK이노베이션,기준일/2M,2025-11-10,120500,283482,34045661100
096770,SK이노베이션,기준일/2M,2025-11-11,122300,312573,38447982500
096770,SK이노베이션,기준일/2M,2025-11-12,126500,386084,48693879700
096770,SK이노베이션,기준일/2M,2025-11-13,126300,402364,50891384350
096770,SK이노베이션,기준일/2M,2025-11-14,122700,268518,33207392350
096770,SK이노베이션,기준일/2M,2025-11-17,122300,245202,30042778750
096770,SK이노베이션,기준일/2M,2025-11-18,116000,341783,40218221800
096770,SK이노베이션,기준일/2M,2025-11-19,116600,204366,23843672850
096770,SK이노베이션,기준일/2M,2025-11-20,116900,199549,23464330500
096770,SK이노베이션,기준일/2M,2025-11-21,113500,193498,22046172100
